node_id,longitude,latitude
JP_324817350,-34.8453676,-7.1262317
JP_337591192,-34.8536208,-7.1104818
JP_337591196,-34.8534003,-7.1119155
JP_337592894,-34.8557348,-7.1104912
JP_337592897,-34.8553108,-7.1122163
JP_337597705,-34.8315378,-7.1245374
JP_337597734,-34.8426978,-7.1252493
JP_337597747,-34.8474061,-7.1247836
JP_337597749,-34.8475821,-7.1248301
JP_337597774,-34.8529632,-7.1276959
JP_337597785,-34.8547482,-7.1294466
JP_337600181,-34.8570379,-7.1296566
JP_352746513,-34.8931924,-7.1208984
JP_451251135,-34.8351268,-7.1169705
JP_451325677,-34.8390571,-7.1183659
JP_451374417,-34.8371003,-7.1176934
JP_451374419,-34.8361468,-7.1173422
JP_451374424,-34.836111,-7.1195065
JP_451374434,-34.83736,-7.1167791
JP_451374435,-34.8364534,-7.1163437
JP_451377594,-34.8380122,-7.1180094
JP_451377596,-34.8380258,-7.1195219
JP_451377598,-34.8382718,-7.1171212
JP_451377600,-34.8382284,-7.1172075
JP_451389842,-34.8370732,-7.1184718
JP_451389870,-34.8356703,-7.1184643
JP_452465943,-34.8409263,-7.1185631
JP_452465951,-34.8409209,-7.1195445
JP_452487513,-34.8410839,-7.1255026
JP_458398982,-34.8430274,-7.1216203
JP_458398986,-34.8410964,-7.1222417
JP_458398987,-34.837416,-7.1222295
JP_458398988,-34.8367655,-7.122232
JP_458398989,-34.8356514,-7.1222272
JP_458398990,-34.8349297,-7.1221526
JP_458398991,-34.8341983,-7.1219757
JP_458398992,-34.8378264,-7.1243064
JP_458398993,-34.8371595,-7.1242601
JP_458398994,-34.83653,-7.1241979
JP_458398997,-34.8372706,-7.1234717
JP_458398998,-34.8430245,-7.1247674
JP_458399000,-34.8430313,-7.1228992
JP_458399003,-34.8384429,-7.1247477
JP_458399009,-34.844209,-7.1229027
JP_458399034,-34.8450265,-7.121663
JP_458399039,-34.8386681,-7.1228679
JP_458399041,-34.8366143,-7.1234865
JP_458399042,-34.8337202,-7.1227386
JP_458403639,-34.8361384,-7.1184651
JP_458403651,-34.8450405,-7.1210393
JP_458403653,-34.8450284,-7.1222848
JP_458403654,-34.8450165,-7.1229212
JP_458403656,-34.8450129,-7.124161
JP_458403659,-34.8442119,-7.1222799
JP_458403663,-34.8410961,-7.1216236
JP_458403665,-34.8429968,-7.1203628
JP_458403669,-34.8410787,-7.1203596
JP_458403671,-34.8410849,-7.1210134
JP_458403676,-34.8387454,-7.1222365
JP_458403678,-34.8381079,-7.122224
JP_458409409,-34.8345217,-7.1229465
JP_458409410,-34.8340291,-7.1215112
JP_458409411,-34.834019,-7.1210092
JP_458409412,-34.8334294,-7.1214793
JP_458409416,-34.8309761,-7.1231534
JP_458409417,-34.8312332,-7.1231341
JP_458409418,-34.8319471,-7.123124
JP_458409420,-34.8328574,-7.1195663
JP_458409422,-34.8328157,-7.121242
JP_458409442,-34.8370577,-7.1196177
JP_458409448,-34.8369045,-7.1209939
JP_458409454,-34.8315285,-7.1207125
JP_458409461,-34.8309458,-7.1234728
JP_458409466,-34.8322814,-7.1210182
JP_458409473,-34.8375594,-7.1209935
JP_458409474,-34.8430151,-7.1210231
JP_458409476,-34.8410942,-7.1234599
JP_458409478,-34.8410844,-7.1247554
JP_458409479,-34.8385854,-7.1234863
JP_458409482,-34.8430305,-7.1241399
JP_458409483,-34.8430394,-7.1235119
JP_458409484,-34.8379306,-7.1234831
JP_458409485,-34.8382259,-7.1209816
JP_458411573,-34.8389549,-7.12036
JP_458411574,-34.8357921,-7.1196092
JP_458411575,-34.8369907,-7.1203335
JP_458411576,-34.8366577,-7.1230614
JP_458411577,-34.836371,-7.1222304
JP_458411578,-34.8359192,-7.1209995
JP_458411579,-34.8358326,-7.1203428
JP_458411580,-34.835326,-7.1209974
JP_508062146,-34.8532539,-7.1279917
JP_508062189,-34.8533283,-7.1186191
JP_508062190,-34.8552484,-7.1186246
JP_587648799,-34.833453,-7.0971497
JP_587648809,-34.8322347,-7.1004904
JP_587648811,-34.8297323,-7.1043386
